Ref_No,Facility_Name,Service_Type,Contact_Name,Address1,Address2,Address3,Town,Eircode,County,Age_Range,Area,Community,Contact_Name,Email,Phone_Number
TU2015CC259,Martina's Playschool ,Sessional,Martina Conroy ,The Old School House ,Riverstown Community Centre, ,Glamire ,T45 W992,Cork,2 - 6 Years,South,N/A,Martina Conroy,martinasplayschool@gmail.com,N/A
TU2015CC260,Mary Geary's Childcare ,Sessional,Oliver Sheehan ,Building 1 ,Terrysland, ,Carrigtwohill ,T45 XR40,Cork,0 - 6 Years,South,N/A,Oliver Sheehan,marygearychildcare@gmail.com,021 4533802
TU2016CC034,Mary Geary's Childcare ,Sessional,Mary Geary ,Building 2 ,Terrysland, ,Carrigtwohill ,T45 XR40,Cork,2 - 6 Years,South,N/A,Oliver Sheehan,marygearychildcare@gmail.com,021 4533802
TU2015CC261,Maryborough Montessori School ,Sessional,Karen Lynch ,5 Lislee Rd. ,Maryborough Estate, ,Douglas ,T12 AP02,Cork,2 - 6 Years,South,N/A,Karen Lynch,maryboroughmontessorischool@gmail.com,021 4362757
TU2015CC262,Mary's Pre-School Playgroup ,Sessional,Mary Finnegan ,Lamar ,Clash, ,Carrigrohane ,T12 EK81,Cork,2 - 6 Years,South,N/A,Mary Finnegan,maryfinnegan4@gmail.com,021 4870978
TU2015CC264,Mayfield Community Pre-School Ltd. ,Sessional,Maureen Crowley ,The Bungalow ,Roseville House FRC Old Youghal Road,Mayfield ,Cork ,T23 XF62,Cork,2 - 6 Years,South,N/A,Joe Mullane,mayfieldcps@yahoo.ie,021 4506535
TU2015CC265,Meadow Farm Montessori School ,Sessional,Rose Hickey ,4 Meadow Farm ,Spittal, ,Cloyne ,P25 N799,Cork,2 - 6 Years,South,N/A,Rose Hickey,roseincork@yahoo.ie,021 4652136
TU2015CC266,Michelle & Moz Playschool & Creche ,Sessional,Maureen O'Neill Michelle Dudley ,Rodeen ,Castletownbere, ,Beara ,P75 NT92,Cork,1 - 6 Years,South,N/A,Maureen O'Neill Michelle Dudley,michelleandmozplayschool@gmail.com,087 9008705
TU2015CC268,Milford Community Pre School ,Sessional,Nodlaig Donegan ,Scoil Muire ,, ,Milford ,P56 FA00,Cork,2 - 6 Years,South,N/A,Lianne Sexton,milfordpreschool2013@gmail.com ,N/A
TU2015CC269,Miss Ellie's Pre-School ,Sessional,Eleanor Ahern ,28 Copperalley Close ,, ,Youghal ,P36 C603,Cork,2 - 6 Years,South,N/A,Eleanor Ahern,eleanor.ahern@gmail.com,024 90974
TU2015CC270,Mitchelstown Community Playgroup ,Sessional,James Sherlock ,Presentation Convent Grounds ,, ,Mitchelstown ,N/A,Cork,2 - 6 Years,South,N/A,Mary  Milward,jsherlock12@hotmail.com,025 24697
TU2015CC271,Mitchelstown Montessori School ,Sessional,Janice Ahern ,9 Inner Ballinwillin Bungalows ,Ballinwillin, ,Mitchelstown ,P67 AK40,Cork,2 - 6 Years,South,N/A,Pauline Dillane,williepauline2005@yahoo.co.uk,025 24630
TU2015CC272,Model Farm Road (Cork) Childcare Ltd ,Sessional,Elaine Bermingham ,Model Farm Business & Technology Park ,Model Farm Road, ,Cork ,T12 WP96,Cork,0 - 6 Years,South,N/A,Seán O'Mahony David Bermingham,modelfarmroad@bestcreche.ie,021 4545144
TU2016CC010,Monard Montessori Pre-School ,Sessional,Jennifer Clancy ,Monard ,, ,Whitechurch ,T34 EP21,Cork,2 - 6 Years,South,N/A,Miriam Verling,verl@eircom.net,021 4305666
TU2015CC274,Montessori at Scoil an Spioraid Naomh ,Sessional,Sinéad  Hennessy ,Curraheen Road ,Bishopstown, ,Cork ,T12 RR68,Cork,3 - 6 Years,South,N/A,Sinéad  Hennessy,sineadhennessy@gmail.com,021 4543305
TU2015CC275,Morning Glory Montessori ,Sessional,Carol O'Connor Margaret Buckley ,Apt. 1 ,, ,Riverstick ,P43 AV60,Cork,2 - 6 Years,South,N/A,Margaret  Buckley,margaret_buckley@hotmail.com,087 9773348/087 7685018
TU2015CC276,Mount Eden Montessori ,Sessional,Janette Crowley ,14A Mount Eden Road ,Gurranabraher, ,Gurranabraher ,T23 PV06,Cork,2 - 6 Years,South,N/A,Janette Crowley ,janettecrowley@gmail.com,083 4168471
TU2015CC192,Mount Oval Childcare Ltd ,Sessional,Ruth Kilbride ,The Square ,Mount Oval Village, ,Rochestown ,T12 V20C,Cork,0 - 6 Years,South,N/A,Deirdre Ronan,ruth@kangakare.ie,021 4363344
TU2016CC031,Mount Oval Childcare Ltd. ,Sessional,Ruth Kilbride ,Unit 1B The Square  ,Mount Oval Village,Rochestown ,Cork ,T12 V20C,Cork,3 - 6 Years,South,N/A,Deirdre Ronan,ruth@kangakare.ie,021 4363344
TU2016CC502,Muin Preschool ,Sessional,Marissa Buckley ,The Green Rooms ,Brocklesby, ,Blackpool ,N/A,Cork,3 - 6 Years,South,N/A,Kate Gaffney,info@thegreenroomscork.com,085 7268712
TU2015CC277,Muintir Bhaire Community Pre-school ,Sessional,Sinead O'Donovan ,The Pavilion ,Durrus, ,Bantry ,P75 VY84,Cork,2 - 6 Years,South,N/A,Sinead O' Donovan,muintirbhairepreschool@eircom.net,027 61990
TU2015CC278,Mulberry Montessori Pre-School ,Sessional,Mella (Majella) Finn ,Mulberry ,, ,Mitchelstown ,P67 V045,Cork,2 - 6 Years,South,N/A,Mella (Majella) Finn,mulberrymontessori@gmail.com,025 85823
TU2015CC279,Na Leanbh Montessori Pre-school ,Sessional,Marie Lucey O'Connor ,39 The Hermitage ,, ,Macroom ,P12 T320,Cork,2 - 6 Years,South,N/A,Marie Lucey O'Connor,mariemike1@eircom.net,026 43663
TU2016CC501,Na Paisti Mor ,Sessional,Mary Quinlan ,The Glen Sports & Resource Centre ,Glen Avenue, ,The Glen ,N/A,Cork,3 - 6 Years,South,N/A,Mary Quinlan,magnet.1@hotmail.com,085 8478725
TU2015CC281,Na Spideoga óga ,Sessional,Jean Murphy ,Gaelscoil Uí Ríordáin ,Carraig An Earra, ,Báile an Chollaigh ,P31 V242,Cork,3 - 6 Years,South,N/A,Jean Murphy,jeanuimhurchu@gmail.com,087 2409975
TU2015CC282,Naíonra Baile an Chollaigh ,Sessional,Marian Ruane ,Community Centre ,, ,Ballincollig ,P31 KV63,Cork,3 - 6 Years,South,N/A,Marian Ruane,mar.ruane@gmail.com,N/A
TU2015CC283,Naíonra Bhaile Mhistéala Teoranta ,Sessional,Sandra Gallen ,Clós Bhunscoil na Toirbhirte ,, ,Baile Mhistéala ,P67 FE82,Cork,2 - 6 Years,South,N/A,Aine Ui Chruadhlaoich,gallensandra@gmail.com,N/A
TU2015CC284,Naionra Bhaile Mhúirne ,Sessional,Joanne  Ní Chríodáin ,Maigh Réidh ,Baile Mhic Íre, ,Magh Chromtha ,P12 YD62,Cork,3 - 6 Years,South,N/A,Joanne  Ní Chríodáin,joanne@cnng.ie,085 2888637
TU2015CC285,Naíonra Bhéal Atha an Ghaorthaidh ,Sessional,Gearóidín Uí Bhuachalla ,Coláiste na Mumhan ,Béal Atha an Ghaorthaidh, ,Magh Chromtha ,P12 NA02,Cork,3 - 6 Years,South,N/A,Breege Uí Mhurchadha,joanne@cnng.ie,085 2888637
TU2015CC287,Naíonra Chill na Martra ,Sessional,Máiread Uí Uidhir ,Cill na Martra ,, ,Magh Chromtha ,P12 DD71,Cork,3 - 6 Years,South,N/A,Joanne Ní Chríodáin,joanne@cnng.ie,085 2888637
TU2015CC288,Naíonra Chúil Aodha ,Sessional,Gobnait Uí Shúilleabháin ,Ionad Óige ,Cúil Aodha, ,Magh Chromtha ,P12 XN12,Cork,3 - 6 Years,South,N/A,"Joanne	 Ni Chriodain",joanne@cnng.ie,085 2888637
TU2015CC290,Naíonra Droichead na Banndan ,Sessional,Máirín Uí Chriáin ,Palún Cuman Luathcleas Gael ,Pairc Uí Mhurthuile,An Bothar Nua ,Droichead na Banndan ,P72 HF53,Cork,3 - 6 Years,South,N/A,Máirín Uí Chriáin,maureenecrean@gmail.com,N/A
TU2015CC291,Naionra Gleann Maghair Teo ,Sessional,Bernadette Blackton ,An Halla ,Glanmire Football Club,Sallybrook ,Glanmire ,T35 XE36,Cork,2 - 6 Years,South,N/A,Maria Moran,naionraghleannmaghair@gmail.com,N/A
TU2015CC292,Naionra Lus na Meala ,Sessional,Catherine Dineen ,67 Lus na Meala ,Banduff,Mayfield ,Cork ,T23 RY80,Cork,2 - 6 Years,South,N/A,Kathyrn O'Riordan,lusnameala@gmail.com,021 4558903
TU2015CC293,Naíonra Na Dúglaise ,Sessional,Eibhlin Mhic Pharthaláin ,Gaelscoil na Dúglaise ,An Duglas, ,Corcaigh ,T12 D702,Cork,3 - 6 Years,South,N/A,Eibhlin Mhic Pharthaláin Niamh Mhic Pharthaláin,naionraardfallen@gmail.com,021 4898526
TU2015CC294,Naíonra na mBachlóg/Little Buds Pre-School ,Sessional,Rosarie  Forde ,Farranferris Education and Training Campus ,Redemption Road, ,Cork ,N/A,Cork,3 - 6 Years,South,N/A,Sonia Forde,irishearlylearning@gmail.com,N/A
TU2015CC295,Naionra na n-Óg Síog ,Sessional,Caitriona Walsh Cliodhna Walsh ,Unit 3a The Link Road Business Park ,The Link Road, ,Ballincollig ,P31 R680,Cork,2 - 6 Years,South,N/A,Caitriona Walsh Cliodhna Walsh,nanogsiog@yahoo.ie,N/A
TU2015CC471,Naionra Naomh Sheosamh ,Sessional,Grace Boyle ,Ionad an Phobail (St. Joseph's Community Centre) ,Sean Bhothar Eochaille,Ghort Alainn ,Cork ,Y21 PP59,Cork,3 - 6 Years,South,N/A,Terry Ui Mhaolchatha,gracemariaboyle@gmail.com,021 4500538
TU2015CC297,Naíonra Phobail an Sciobairín CTR ,Sessional,Ann Buckley ,Gort na Cloiche ,, ,An Sciobairin ,P81 HY67,Cork,2 - 6 Years,South,N/A,Aisling Ni Neill,annbuckley1988@gmail.com,086 6616644
TU2015CC300,Naíonra Thomáis Dáibhís ,Sessional,Máire Uí Bhriain ,c/o Máire Uí Bhriain ,F/ch CLG ,Carrigoon ,Mallow ,P51 XV58,Cork,2 - 6 Years,South,N/A,Máire Uí Bhriain,naionratd@eircom.net,022 50757/ 022 42248
TU2015CC299,Naiscoil Chloch Na gCoillte ,Sessional,Fidelma Ni hUallachain ,Fernhill Road ,, ,Clonakilty ,P85 YV90,Cork,2 - 6 Years,South,N/A,Fidelma Ni hUallachain,naiscoilchlochnagcoillte@hotmail.com,N/A
TU2015CC301,Narnia ,Sessional,Mary Martin ,Killawillan ,, ,Castlelyons ,P61 RT18,Cork,2 - 6 Years,South,N/A,Mary Martin,marymartin1@live.ie,025 36264
TU2015CC302,Nathleen's Montessori School ,Sessional,Nathleen O'Doherty ,Percival St ,, ,Kanturk ,P51 Y91R,Cork,2 - 6 Years,South,N/A,Nathleen O'Doherty,nathleen1@hotmail.com,N/A
TU2015CC304,New Beginnings Pre-school ,Sessional,Catherine  O'Farrell ,St. Mary's Primary School ,, ,Dunmanway ,P47 CF70,Cork,2 - 6 Years,South,N/A,Catherine  O'Farrell,cathofarrell@gmail.com,N/A
TU2016CC017,New Horizons Pre-School ,Sessional,Laoise Harrington ,c/o St. Vincents Primary School ,St Mary's Road, ,Cork ,T23 P27X,Cork,2 - 6 Years,South,N/A,Laoise Harrington,laoiseharrington@hotmail.com,087 2953201
TU2015CC307,Newbury House Family Centre CLG  ,Sessional,Leslie O'Connor ,Newbury House Family Centre Ltd. ,Old Youghal Road,Mayfield ,Cork ,T23 C3FW,Cork,2 - 6 Years,South,N/A,Mary Foley,admin@newburyhouse.ie,021 4507999
TU2015CC184,"NICHE Health Project (Cork) CLG, T/A Hollyhill Knocknaheeny Family Centre ",Sessional,Angela Kalaitzake ,Harbour View Road ,Knocknaheeney, ,Cork ,T23 KHE0,Cork,2 - 6 Years,South,N/A,Helen McCarthy,thefamilycentre@eircom.net,021 4392300
TU2016CC024,O.A.K. (Outdoor Active Kids) ,Sessional,Bernadette O'Brien ,Ballinascatha ,, ,Midleton ,P25 RX83,Cork,3 - 6 Years,South,N/A,Bernadette O'Brien,outdooractivekids@gmail.com,N/A
TU2015CC311,Oak Park Pre-School ,Sessional,Sinead Goggin ,30 Oak Park ,Ballyhooly Road, ,Cork ,T23 K5P2,Cork,2 - 6 Years,South,N/A,Sinead Goggin,mgoggin@eircom.net,021 4508284
TU2015CC312,Oakfield Close Community Childcare Centre ,Sessional,Jacinta O'Keeffe ,Oakfield Close ,Summerhill, ,Mallow ,P51 AP63,Cork,3 - 6 Years,South,N/A,Lisa O'Rourke,oakfieldclosecc@respond.ie,022 51484
TU2015CC313,Oasis Playroom Ashbourne House ,Sessional,Joanie Barron ,Ashbourne House Hotel ,, ,Glounthaune ,R45 CF90,Cork,2 - 6 Years,South,N/A,Deirdre Tobin,wallarooplayschool@gmail.com,021 4504514
TU2015CC314,Old Brewery Montessori School ,Sessional,Canice O'Regan ,Old Brewery Road ,, ,Clonakilty ,P85 XY82,Cork,2 - 6 Years,South,N/A,Canice O'Regan,oldbrewerymontessori@gmail.com,023 8834070
TU2015CC317,Orchard Court Pre-School ,Sessional,Amanda Foley ,Church Lane ,Midleton, ,Cork ,P25 VX23,Cork,2 - 6 Years,South,N/A,Marie Rohan Annette Dorgan,orchardcourtcreche@hotmail.com,021 4633568
TU2015CC025,O'Reilly Montessori School ,Sessional,Fiona O'Reilly ,Allen's Walk ,, ,Fermoy ,P61 YV60,Cork,2 - 6 Years,South,N/A,Fiona O'Reilly,oreillyfi14@snmci.ie,025 31309
TU2015CC318,Our House Pre-School ,Sessional,Nadra Gregory ,61-64 ,Roches Buildings,Richmond Hill ,Cork ,T23 Y6DY,Cork,2 - 6 Years,South,N/A,Catherine Forest,ourhousepreschool61@gmail.com,021 4552634
TU2015CC319,Over the Rainbow ,Sessional,Jane Neville ,Tisaxon Lodge ,Tisaxon, ,Kinsale ,P17 D260,Cork,2 - 6 Years,South,N/A,Jane Neville,janeneville21@gmail.com,021 4774622
TU2015CC320,Padre Pio Pre School ,Sessional,Patrique Ryan ,Baker's Road ,, ,Charleville ,P56 P224,Cork,2 - 6 Years,South,N/A,Mary O'Dwyer,modwyer@stjosephsfoundation.ie,063 89252
TU2015CC321,Páistí ,Sessional,Joanie Barron ,Kinsale Road Accommodation Centre ,Kinsale Road, ,Cork ,T12 T927,Cork,3 - 6 Years,South,N/A,Deirdre Tobin,wallarooplayschool@gmail.com,N/A
TU2015CC322,Páistí @ No 3 ,Sessional,Nicole Browne ,3 Churchfield Aveneue ,Churchfield, ,Cork ,T23 EF60,Cork,1 - 6 Years,South,N/A,Catherine O'Brien,paistichildcare@eircom.net,021 4211523
TU2015CC324,Pea Pods Childcare ,Sessional,Patricia Coughlan Eileen Wallace & Anne-Marie McCarthy ,Hillside ,Boreenmanna Road, ,Cork ,T12 N563,Cork,0 - 6 Years,South,N/A,Patricia Coughlan Eileen Wallace & Anne-Marie McCarthy,peapodschildcare@gmail.com,021 4294318
TU2015CC325,"Phil's Pre-school, Kilbrin ",Sessional,Phil Nolan ,Ballybane ,Liscarroll, ,Mallow ,P51 CD98,Cork,2 - 6 Years,South,N/A,Phil Nolan,philanolan@outlook.com,022 48394
TU2015CC473,Phyll's Preschool ,Sessional,Rowena Fisher ,Bealnamorrive ,Leads,Coachford ,Cork ,P12 F962,Cork,2 - 6 Years,South,N/A,Rowena Fisher,phyllspreschool@gmail.com,026 48825
TU2015CC326,Play & Learn Pre-School ,Sessional,Patty Creedon ,Bawnmore ,, ,Macroom ,P12 CK09,Cork,2 - 6 Years,South,N/A,Patty Creedon,pattyann@eircom.net,026 42375
TU2015CC327,Playdays Pre-School ,Sessional,Juliette Guiney ,Bweeng Community Centre ,, ,Bweeng ,P51 KD5C,Cork,2 - 6 Years,South,N/A,Anne Forde,anneforde5@gmail.com,021 7337416
TU2015CC330,Precious Times Pre-School  ,Sessional,Breda  Long ,Suaimhneas ,Belmount, ,Crookstown ,P14 A338,Cork,2 - 6 Years,South,N/A,Breda  Long,precioustimespreschool1@gmail.com,021 7336641
TU2015CC442,Preschool Togher Family Centre ,Sessional,Niamh Sheridan ,6 Maglin Grove ,Deanrock Estate, ,Togher ,T12 C8VW,Cork,1 - 6 Years,South,N/A,Niamh Sheridan,preschool@tfamc.ie,021 4316766
TU2015CC332,Rafferty Montessori School ,Sessional,Mai Rafferty ,Commane ,Killavullen, ,Mallow ,P51 TF10,Cork,2 - 6 Years,South,N/A,Mai Rafferty,raffertymontessori@gmail.com,022 26470
TU2015CC336,Rainbow Lodge ,Sessional,Dave Worrall ,c/o Cope Foundation ,Bonnington,Montenotte ,Cork ,T23 PT93,Cork,2 - 6 Years,South,N/A,Mary  Desmond,rainbowlodge@cope-foundation.ie,021 4643100
TU2016CC023,Rainbow Montessori School ,Sessional,Elma Kenny ,Main Street ,Ballinacurra, ,Midleton ,P25 DD32,Cork,2 - 6 Years,South,N/A,Niamh Fogarty,ballycottonmontessori@gmail.com,021 4633982
TU2015CC337,Rainbow Pre-School ,Sessional,Juliet Brennan ,Kilshannig G.A.A. Sports Complex ,Glantane, ,Mallow ,P51 A398,Cork,2 - 6 Years,South,N/A,Juliet Brennan,jbrainbowplayschool@gmail.com,086 0615366
TU2016CC015,Rainbow Rascals Montessori School ,Sessional,Bernie Owens ,22 Hawthorn Ave ,Inniscarra View, ,Ballincollig ,P31 X375,Cork,2 - 6 Years,South,N/A,Bernie Owens,berniemowens2011@gmail.com,021 4875646
TU2015CC338,Rathcoole Playschool ,Sessional,Maura Foley ,Rathcoole ,, ,Mallow ,P51 HF34,Cork,2 - 6 Years,South,N/A,Maura Foley,maurapfoley@gmail.com,029 58082
TU2015CC339,Rathcormac Playschool ,Sessional,Anne Hogan ,Quarter Lane ,, ,Rathcormac ,P61 P266,Cork,2 - 6 Years,South,N/A,Anne Hogan,annehogan27@outlook.ie,025 36683
TU2015CC402,Rathduff Community Playschool Ltd ,Sessional,Dolores O'Donovan ,Ted's Hall (Adjacent to National School) ,, ,Rathduff ,T23 C4VC,Cork,3 - 6 Years,South,N/A,Karen Kenny,rathduffcmps@gmail.com,021 4629830
TU2015CC342,Réaltaí Naíonra ,Sessional,Glenn Muliett ,28 Glanmire Business Park ,, ,Glanmire ,T45 YC82,Cork,3 - 6 Years,South,N/A,Glenn Muliett,info@realtai.ie,021 4823416
TU2015CC343,Realtaí Óga Pre-School ,Sessional,Regina O'Sullivan ,Community Hall ,River Street, ,Cloyne ,P25 TK70,Cork,2 - 6 Years,South,N/A,Regina O'Sullivan,jencluainuamha@hotmail.com,N/A
TU2015CC344,Red Robin Pre-School ,Sessional,Helen Mullane ,45 Meadowbrook ,, ,Glanmire ,T45 FD60,Cork,2 - 6 Years,South,N/A,Helen Mullane,helenmullane@gmail.com,021 4822330
TU2015CC345,Reenascreena Community Playgroup ,Sessional,Fiona Deane ,Scoil Náisiúnta Rae Na Scrine ,Reenascreena, ,Rosscarbery ,P85 XE17,Cork,2 - 6 Years,South,N/A,Isabelle Fitzpatrick,reenascreenaplaygroup@gmail.com,N/A
TU2015CC346,Reiltin Beag Montessori ,Sessional,Aishling Morrison ,S.G.M.I. ,New Inn, ,Glanmire ,T45 VX70,Cork,2 - 6 Years,South,N/A,Aishling Morrison,aishlingm82@yahoo.ie,087 4145309
TU2015CC085,Riverside House Montessori ,Sessional,Carol Doyle ,Riverside House ,, ,Doneraile ,P51 KT93,Cork,2 - 6 Years,South,N/A,Carol Doyle,riversidehousemontessori2018@gmail.com,022 24949
TU2015CC351,Rockboro Pre-School ,Sessional,Bríd Booker ,Rockboro School ,Hillsboro,Boreenmanna Road ,Cork ,T12 RX38,Cork,3 - 6 Years,South,N/A,Kevin O'Leary,rockboro@eircom.net,021 4314324
TU2015CC352,Rosscarbery Community Playschool & Afterschool Ltd. ,Sessional,Patricia O'Sullivan/ Noelle Howarth ,Ardagh ,, ,Rosscarbery ,P85 P838,Cork,2 - 6 Years,South,N/A,Leona Foran (O Sullivan),rossplayschool@eircom.net / rosscarberycommunityplayschool@gmail.com,023 8831709
TU2015CC353,Sandcastles Pre-School ,Sessional,Catherine Cashman ,Upper Glanmire Community Centre ,Upper Glanmire, ,Whitescross ,T23 EV2W,Cork,2 - 6 Years,South,N/A,Catherine Cashman,catherine@cashman.ie,086 8041553
TU2015CC354,Scamps and Rascals Pre-School ,Sessional,Nora Brett ,Garryvoe Upper ,, ,Ladysbridge ,P25 XA72,Cork,2 - 6 Years,South,N/A,Nora Brett,brett.nora@gmail.com,N/A
TU2015CC355,School Around The Corner ,Sessional,Jennifer Kiely ,Boherash ,, ,Glanworth ,P51 EK58,Cork,0 - 6 Years,South,N/A,Jennifer Kiely,schoolaroundthecorner@hotmail.com,025 46804
TU2015CC356,Schull Community Pre-School ,Sessional,Mary Goggin ,Former Boys School ,Parish Grounds, ,Schull ,P81 KN80,Cork,2 - 6 Years,South,N/A,Emmy Jeffery,schullpreschool@gmail.com,N/A
TU2015CC357,Scoil Ursula Creche ,Sessional,Vanessa Green ,Scoil Ursula Primary School ,Blackrock, ,Cork ,T12 XC91,Cork,2 - 6 Years,South,N/A,Professor David Green,scoilursulacrechejv@gmail.com,N/A
TU2015CC358,Scoil Ursula Pre-School ,Sessional,Sue Ann Falsey ,Scoil Ursula Preschool ,Scoil Ursla N.S,Blackrock ,Cork ,T12 XC91,Cork,3 - 6 Years,South,N/A,Linda Keane,sublackrock.ias@eircom.net,021 4358476
TU2015CC359,Scribbles Playschool ,Sessional,Margaret Dineen ,Allen's Bridge ,, ,Newmarket ,P51 VF63,Cork,2 - 6 Years,South,N/A,Margaret Dineen,scribbles.dineen@gmail.com,N/A
TU2015CC361,Seskin Montessori & Pre-School ,Sessional,Mary O'Sullivan-Keane ,Seskin ,, ,Bantry ,N/A,Cork,2 - 6 Years,South,N/A,Mary O'Sullivan-Keane,gerardkeane1@eircom.net,027 52116
TU2015CC362,Shanakiel Childcare ,Sessional,Clare Cronin ,Mile Stream ,, ,Shanakiel ,T23 D766,Cork,0 - 6 Years,South,N/A,Elaine  Bermingham,shanakiel@bestcreche.ie,021 4211876
TU2015CC364,Shining Stars Montessori ,Sessional,Aiveen Casey ,Ouvane ,Monastery Road,Rochestown ,Cork ,T12 A32V,Cork,2 - 6 Years,South,N/A,Aiveen Casey,aiveencasey@gmail.com,021 4863037
TU2015CC366,Shournagh Childcare (Ballyneety) ,Sessional,Claire Lyons ,"""Ballyneety"" ",Shournagh Road, ,Blarney ,T23 TY75,Cork,2 - 6 Years,South,N/A,Claire Lyons,lyons5@eircom.net,021 4516539
TU2015CC367,Silverheights Pre-School ,Sessional,Pauline O'Brien ,Clonmellon ,Silversprings,Tivoli ,Cork ,N/A,Cork,2 - 6 Years,South,N/A,Pauline O'Brien,fergusobrien@yahoo.co.uk,021 4507547
TU2015CC368,Singing in the Rain ,Sessional,Marlene Thomas ,Midleton College ,Connolly St., ,Midleton ,P25 F898,Cork,3 - 6 Years,South,N/A,Daphne Spillane,singingintherain@eircom.net,021 4638390
TU2015CC369,Siobhans Montessori School ,Sessional,Siobhan O'Connor ,Mourneabbey Community Centre ,Mourneabbey, ,Mallow ,P51 AKP9,Cork,2 - 6 Years,South,N/A,Siobhan O'Connor,siobhanoconnor671@gmail.com,087 9044545
TU2015CC371,Sleaveen Montessori School ,Sessional,Maeve  Hinchion ,Sleaveen West ,, ,Macroom ,P12 XV74,Cork,2 - 6 Years,South,N/A,Maeve  Hinchion,kmhinch@eircom.net,026 42155
TU2015CC374,Spraoi Pre-school ,Sessional,Susan Murphy ,9 The Paddocks ,West Village, ,Ballincollig ,P31 WD63,Cork,2 - 6 Years,South,N/A,Susan Murphy,murphy.susan9@gmail.com ,021 4876282
TU2015CC375,Springbrook Montessori ,Sessional,Joy Marshall ,13 Springbrook ,Donnybrook Hill, ,Douglas ,T12 VP99,Cork,2 - 6 Years,South,N/A,Joy Marshall,springbrookmontessori@gmail.com ,021 4897811
TU2015CC379,St. Columba's Montessori School ,Sessional,Ciara Gaffney ,St. Columba's Girls School ,Douglas West,Douglas ,Cork ,N/A,Cork,2 - 6 Years,South,N/A,Barbara Gaffney,barbaragaffney3@hotmail.com,N/A
TU2015CC376,St. Mary's Pre School ,Sessional,Julie Murray ,St. Mary's National School ,, ,Enniskeane ,P47 NP80,Cork,3 - 6 Years,South,N/A,Julie Murray,juliecarey7@gmail.com,023 8847577
TU2015CC380,St. Mary's Preschool ,Sessional,Lorraine Peterson ,St. Mary's National School ,Orilia Terrace, ,Cobh ,P24 FR98,Cork,2 - 6 Years,South,N/A,Lorraine Peterson,stmaryspreschoolcobh@gmail.com,N/A
TU2015CC381,St. Patrick's Pre-School and Afterschool Care Service ,Sessional,Lisa Glynn ,St. Patrick's Preschool and Afterschool Care Service ,Gardiner's Hill, ,Cork ,T23 VAD9,Cork,3 - 6 Years,South,N/A,Anne O'Connell,stpatrickspreschool@yahoo.ie,N/A
TU2015CC385,Step by Step Pre-School ,Sessional,Kate Kelly ,Parochial House ,, ,Rockchapel ,P51 TY38,Cork,2 - 6 Years,South,N/A,Kate Kelly,p.k.kelly@hotmail.com,029 60926
TU2015CC386,Step by Step Pre-School ,Sessional,Karen  Winters ,14 Clonard Lawn ,, ,Grenagh ,T23 XC84,Cork,2 - 6 Years,South,N/A,Karen  Winters,karenwinters123@yahoo.com,N/A
TU2015CC388,Step One Pre-School (Cailini) ,Sessional,Aideen Murphy ,Scoil Barra Naofa Cailíní ,Beaumont, ,Cork ,N/A,Cork,2 - 6 Years,South,N/A,Aideen Murphy,steponepreschool@gmail.com,N/A
TU2015CC389,Stepping Stones Montessori ,Sessional,Laura O'Flaherty ,51A Capwell Rd. ,Turners Cross, ,Cork ,T12 V590,Cork,2 - 6 Years,South,N/A,Laura O'Flaherty,steppingstonesmontessori@hotmail.com,021 4320626
TU2015CC390,Stepping Stones Pre-School ,Sessional,Moira  Heffernan ,Elderwood ,Boreenmanna Road, ,Cork ,T12 XH67,Cork,2 - 6 Years,South,N/A,Sara Hawthorne,steppingstonescork@gmail.com,021 4390513
TU2015CC391,Stepping Stones Pre-School ,Sessional,Marion De Freitas ,Derrinagree National School ,Derrinagree, ,Mallow ,P51 PT63,Cork,2 - 6 Years,South,N/A,Marion De Freitas,marion_o_connor@hotmail.com,N/A
TU2016CC018,Sugradh Ballygiblin ,Sessional,Caroline O'Riordan ,Ballygiblin ,, ,Mitchelstown ,N/A,Cork,2 - 6 Years,South,N/A,Michael O'Sullivan,sugradhballygiblin@hotmail.com,087 2898215
TU2016CC030,Sunday's Well Montessori Preschool ,Sessional,Niamh Cotter ,C.B.S ,Blarney Street, ,Cork ,T23 H968,Cork,2 - 6 Years,South,N/A,Niamh Cotter,sundayswellmontessori@gmail.com,085 7196345
TU2015CC396,Sunny Days Montessori School ,Sessional,Ciara  Casey ,Frankfield Community Complex ,Frankfield, ,Cork ,T12 V440,Cork,2 - 6 Years,South,N/A,Ciara  Casey,sunny_days_2009@hotmail.com,021 4895755
TU2017CC500,Teach Na Leanaí ,Sessional,Lisa Dorgan ,Gleneely ,Barrys Boreen, ,Fermoy ,P61 KP63,Cork,3 - 6 Years,South,N/A,Lisa Dorgan,Lisadorganmc@gmail.com,086 3847961
TU2015CC399,Teach na Leanai Ltd ,Sessional,Lisa Mc Laughlin ,CETB Centre ,College Road, ,Fermoy ,P61 D368,Cork,2 - 6 Years,South,N/A,Lisa Dorgan,lisadorganmc@gmail.com,025 31395
TU2015CC400,Teach na nOg Montessori School ,Sessional,Marie Burchill Dineen ,3 Lower Convent Hill Street ,, ,Bandon ,P72 P620,Cork,2 - 6 Years,South,N/A,Marie Burchill Dineen,marieburchilldineen@gmail.com,086 8230429
